Ano de eleição,Município,Partido,Código município,Nome candidato,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2022,BRAGA,PT,85510,GILBERTO JOSÉ SPIER VARGAS,Eleito,0,GILBERTO JOSE SPIER VARGAS,BRAGA
2022,CIRÍACO,PT,86070,JEFERSON OLIVEIRA FERNANDES,Eleito,2,JEFERSON OLIVEIRA FERNANDES,CIRIACO
2022,MUITOS CAPÕES,PSDB,88544,NERI ANDRADE PEREIRA JUNIOR,Eleito,16,NERI ANDRADE PEREIRA JUNIOR,MUITOS CAPÕES
2022,CARLOS BARBOSA,PL,85936,APARECIDO MACEDO,Suplente,52,CAPITAO MACEDO,CARLOS BARBOSA
2022,BUTIÁ,PSDB,85537,VALDIR BONATTO,Eleito,12,VALDIR BONATTO,BUTIA
2022,BENTO GONÇALVES,PSDB,85413,VALDIR BONATTO,Eleito,15,VALDIR BONATTO,BENTO GONCALVES
2022,PLANALTO,PSDB,87971,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,PLANALTO
2022,TRÊS PASSOS,PSDB,89419,PEDRO OZORIO PEREIRA,Eleito,5,PEDRO OZORIO PEREIRA,TRES PASSOS
2022,MARAU,PSDB,87378,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,MARAU
2022,PROGRESSO,MDB,84760,CLAIR TOMÉ KUHN,Suplente,6,CLAIR KUHN,PROGRESSO
2022,TRÊS PALMEIRAS,MDB,86142,CLAIR TOMÉ KUHN,Suplente,3,CLAIR KUHN,TRES PALMEIRAS
2022,AMARAL FERRADOR,PODE,86045,JOSE AIRTON RIBEIRO DE LIMA,Suplente,1,AIRTON LIMA,AMARAL FERRADOR
2022,BARRACÃO,PODE,85359,FAISAL MOTHCI KARAM,Suplente,0,FAISAL KARAM,BARRACAO
2022,PINHEIRINHO DO VALE,MDB,87408,CLAIR TOMÉ KUHN,Suplente,27,CLAIR KUHN,PINHEIRINHO DO VALE
2022,FLORES DA CUNHA,PODE,86614,JOSE AIRTON RIBEIRO DE LIMA,Suplente,17,AIRTON LIMA,FLORES DA CUNHA
2022,RIO GRANDE,PP,88153,GUILHERME RECH PASIN,Eleito,3,GUILHERME RECH PASIN,RIO GRANDE
2022,JAGUARI,PP,87238,FREDERICO CANTORI ANTUNES,Eleito,6,FREDERICO CANTORI ANTUNES,JAGUARI
2022,ENCRUZILHADA DO SUL,PP,86355,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,14,MARCUS VINICIUS VIEIRA DE ALMEIDA,ENCRUZILHADA DO SUL
2022,GUARANI DAS MISSÕES,PP,86894,GUILHERME RECH PASIN,Eleito,0,GUILHERME RECH PASIN,GUARANI DAS MISSÕES
2022,CERRITO,PP,88641,GUILHERME RECH PASIN,Eleito,1,GUILHERME RECH PASIN,CERRITO
2022,INHACORÁ,UNIÃO,86827,DIRCEU FRANCISCON,Eleito,434,DIRCEU FRANCISCON,INHACORA
2022,AJURICABA,MDB,85030,CLAIR TOMÉ KUHN,Suplente,30,CLAIR KUHN,AJURICABA
2022,ALVORADA,REPUBLICANOS,85111,FRANCIS SOMENSI,Suplente,39,FRAN SOMENSI,ALVORADA
2022,GENTIL,PP,86746,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,1,MARCUS VINICIUS VIEIRA DE ALMEIDA,GENTIL
2022,CAMPO BOM,PP,85774,GUILHERME RECH PASIN,Eleito,4,GUILHERME RECH PASIN,CAMPO BOM
2022,CAMPO BOM,PP,85774,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,16,MARCUS VINICIUS VIEIRA DE ALMEIDA,CAMPO BOM
2022,CACHOEIRINHA,PP,85618,GUILHERME RECH PASIN,Eleito,32,GUILHERME RECH PASIN,CACHOEIRINHA
2022,AMETISTA DO SUL,PSB,86304,ELTON ROBERTO WEBER,Eleito,16,ELTON ROBERTO WEBER,AMETISTA DO SUL
2022,MANOEL VIANA,PP,86940,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,0,MARCUS VINICIUS VIEIRA DE ALMEIDA,MANOEL VIANA
2022,COQUEIROS DO SUL,PP,86606,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,572,SILVANA MARIA FRANCISCATTO COVATTI,COQUEIROS DO SUL
2022,BAGÉ,PP,85316,ADOLFO JOSÉ BRITO,Eleito,1,ADOLFO JOSE BRITO,BAGE
2022,ALTO ALEGRE,PT,84808,STELA BEATRIZ FARIAS LOPES,Eleito,46,STELA BEATRIZ FARIAS LOPES,ALTO ALEGRE
2022,CAMBARÁ DO SUL,PSDB,85715,PEDRO OZORIO PEREIRA,Eleito,421,PEDRO OZORIO PEREIRA,CAMBARA DO SUL
2022,ERECHIM,PP,86371,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,129,SILVANA MARIA FRANCISCATTO COVATTI,ERECHIM
2022,BOA VISTA DO CADEADO,PP,89044,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,132,SILVANA MARIA FRANCISCATTO COVATTI,BOA VISTA DO CADEADO
2022,COQUEIROS DO SUL,PP,86606,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,0,MARCUS VINICIUS VIEIRA DE ALMEIDA,COQUEIROS DO SUL
2022,CAXIAS DO SUL,PP,85995,GUILHERME RECH PASIN,Eleito,200,GUILHERME RECH PASIN,CAXIAS DO SUL
2022,CARAZINHO,PP,85910,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,19,MARCUS VINICIUS VIEIRA DE ALMEIDA,CARAZINHO
2022,ARROIO DOS RATOS,PP,85219,ADOLFO JOSÉ BRITO,Eleito,1,ADOLFO JOSE BRITO,ARROIO DOS RATOS
2022,GETÚLIO VARGAS,PP,86770,ADOLFO JOSÉ BRITO,Eleito,4,ADOLFO JOSE BRITO,GETULIO VARGAS
2022,BAGÉ,PP,85316,ADOLFO JOSÉ BRITO,Eleito,0,ADOLFO JOSE BRITO,BAGE
2022,ARATIBA,PL,85170,ADRIANA VIEIRA LARA,Eleito,3,ADRIANA VIEIRA LARA,ARATIBA
2022,MIRAGUAÍ,MDB,87475,ROBERTO FANTINEL,Eleito,17,ROBERTO FANTINEL,MIRAGUAI
