Ano de eleição,Código município,Município,Nome candidato,Partido,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2018,85871,CANGUÇU,JOSE AIRTON RIBEIRO DE LIMA,PR,Eleito,33,AIRTON LIMA,CANGUCU
2018,87955,PIRATINI,JOSE AIRTON RIBEIRO DE LIMA,PR,Eleito,12,AIRTON LIMA,PIRATINI
2018,88188,DILERMANDO DE AGUIAR,JOSE AIRTON RIBEIRO DE LIMA,PR,Eleito,1,AIRTON LIMA,DILERMANDO DE AGUIAR
2018,85979,CATUÍPE,JOSE AIRTON RIBEIRO DE LIMA,PR,Eleito,6,AIRTON LIMA,CATUIPE
2018,86770,GETÚLIO VARGAS,JOSE AIRTON RIBEIRO DE LIMA,PR,Eleito,137,AIRTON LIMA,GETULIO VARGAS
2018,87440,PONTE PRETA,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,PONTE PRETA
2018,87025,MATO CASTELHANO,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,MATO CASTELHANO
2018,88978,SÃO VALENTIM,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,SAO VALENTIM
2018,88056,PORTO XAVIER,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,20,RUY IRIGARAY,PORTO XAVIER
2018,85642,VILA MARIA,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,27,RUY IRIGARAY,VILA MARIA
2018,88536,SANTO ÂNGELO,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,283,RUY IRIGARAY,SANTO ANGELO
2018,89184,CORONEL PILAR,LUCIANO LORENZINI ZUCCO,PSL,Eleito,17,TENENTE CORONEL ZUCCO,CORONEL PILAR
2018,89028,ARROIO DO PADRE,VILMAR LOURENÇO,PSL,Eleito,1,VILMAR LOURENCO,ARROIO DO PADRE
2018,87882,SENTINELA DO SUL,VILMAR LOURENÇO,PSL,Eleito,5,VILMAR LOURENCO,SENTINELA DO SUL
2018,87688,SANTO EXPEDITO DO SUL,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,SANTO EXPEDITO DO SUL
2018,88099,QUARAÍ,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,QUARAI
2018,85499,BOSSOROCA,VILMAR LOURENÇO,PSL,Eleito,1,VILMAR LOURENCO,BOSSOROCA
2018,87696,NOVA PRATA,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,370,RUY IRIGARAY,NOVA PRATA
2018,87327,PARECI NOVO,ERIC LINS GRILO,DEM,Eleito,5,ERIC LINS,PARECI NOVO
2018,88676,SÃO FRANCISCO DE PAULA,THIAGO PEREIRA DUARTE,DEM,Eleito,10,THIAGO PEREIRA DUARTE,SAO FRANCISCO DE PAULA
2018,85049,DEZESSEIS DE NOVEMBRO,LUCIANA KREBS GENRO,PSOL,Eleito,3,LUCIANA KREBS GENRO,DEZESSEIS DE NOVEMBRO
2018,89435,TRIUNFO,LUCIANA KREBS GENRO,PSOL,Eleito,90,LUCIANA KREBS GENRO,TRIUNFO
2018,87106,MORMAÇO,LUCIANA KREBS GENRO,PSOL,Eleito,0,LUCIANA KREBS GENRO,MORMACO
2018,85405,PROTÁSIO ALVES,LUCIANA KREBS GENRO,PSOL,Eleito,1,LUCIANA KREBS GENRO,PROTASIO ALVES
2018,87416,MARIANO MORO,LUCIANA KREBS GENRO,PSOL,Eleito,5,LUCIANA KREBS GENRO,MARIANO MORO
2018,89303,MATO QUEIMADO,THIAGO PEREIRA DUARTE,DEM,Eleito,0,THIAGO PEREIRA DUARTE,MATO QUEIMADO
2018,89265,JACUIZINHO,THIAGO PEREIRA DUARTE,DEM,Eleito,3,THIAGO PEREIRA DUARTE,JACUIZINHO
2018,88480,UNISTALDA,ELTON ROBERTO WEBER,PSB,Eleito,0,ELTON ROBERTO WEBER,UNISTALDA
2018,88790,SÃO LOURENÇO DO SUL,ELTON ROBERTO WEBER,PSB,Eleito,50,ELTON ROBERTO WEBER,SAO LOURENCO DO SUL
2018,87645,SANTO ANTÔNIO DO PALMA,FRANCIANE ABADE BAYER MULLER,PSB,Eleito,0,FRANCIANE BAYER,SANTO ANTONIO DO PALMA
2018,88595,SANTO AUGUSTO,ELTON ROBERTO WEBER,PSB,Eleito,5,ELTON ROBERTO WEBER,SANTO AUGUSTO
2018,88870,SÃO NICOLAU,ELTON ROBERTO WEBER,PSB,Eleito,76,ELTON ROBERTO WEBER,SAO NICOLAU
2018,89699,VICTOR GRAEFF,ELTON ROBERTO WEBER,PSB,Eleito,162,ELTON ROBERTO WEBER,VICTOR GRAEFF
2018,86231,DAVID CANABARRO,ELTON ROBERTO WEBER,PSB,Eleito,37,ELTON ROBERTO WEBER,DAVID CANABARRO
2018,87548,RIO DOS ÍNDIOS,ELTON ROBERTO WEBER,PSB,Eleito,126,ELTON ROBERTO WEBER,RIO DOS INDIOS
2018,87580,SALVADOR DAS MISSÕES,ELTON ROBERTO WEBER,PSB,Eleito,104,ELTON ROBERTO WEBER,SALVADOR DAS MISSOES
2018,86347,BARÃO DO TRIUNFO,ELTON ROBERTO WEBER,PSB,Eleito,44,ELTON ROBERTO WEBER,BARAO DO TRIUNFO
2018,86819,GRAMADO,ELTON ROBERTO WEBER,PSB,Eleito,509,ELTON ROBERTO WEBER,GRAMADO
2018,84778,PIRAPÓ,ELTON ROBERTO WEBER,PSB,Eleito,10,ELTON ROBERTO WEBER,PIRAPO
2018,89176,SOBRADINHO,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,2,DALCISO OLIVEIRA,SOBRADINHO
2018,85391,BARROS CASSAL,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,BARROS CASSAL
2018,85170,ARATIBA,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,ARATIBA
2018,85197,ARROIO DO MEIO,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,1,DALCISO OLIVEIRA,ARROIO DO MEIO
2018,85847,VISTA GAÚCHA,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,VISTA GAUCHA
2018,88129,VITÓRIA DAS MISSÕES,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,VITORIA DAS MISSOES
2018,84808,ALTO ALEGRE,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,ALTO ALEGRE
2018,86851,GUAÍBA,MATEUS JOSÉ DE LIMA WESP,PSDB,Eleito,4,MATEUS WESP,GUAIBA
2018,88994,SAPIRANGA,MATEUS JOSÉ DE LIMA WESP,PSDB,Eleito,5,MATEUS WESP,SAPIRANGA
2018,88870,SÃO NICOLAU,MATEUS JOSÉ DE LIMA WESP,PSDB,Eleito,0,MATEUS WESP,SAO NICOLAU
2018,88200,CAPIVARI DO SUL,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,90,RUY IRIGARAY,CAPIVARI DO SUL
2018,84832,SÃO DOMINGOS DO SUL,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,14,RUY IRIGARAY,SAO DOMINGOS DO SUL
2018,89400,ROLADOR,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,9,RUY IRIGARAY,ROLADOR
2018,84930,FAGUNDES VARELA,APARECIDO MACEDO,PSL,Eleito,2,CAPITAO MACEDO,FAGUNDES VARELA
2018,85855,CANELA,APARECIDO MACEDO,PSL,Eleito,52,CAPITAO MACEDO,CANELA
2018,85596,CACHOEIRA DO SUL,APARECIDO MACEDO,PSL,Eleito,87,CAPITAO MACEDO,CACHOEIRA DO SUL
2018,84913,VANINI,APARECIDO MACEDO,PSL,Eleito,3,CAPITAO MACEDO,VANINI
2018,89532,VACARIA,JULIANO FRANCZAK,PSD,Eleito,406,JULIANO FRANCZAK,VACARIA
2018,86410,ERVAL GRANDE,JULIANO FRANCZAK,PSD,Eleito,15,JULIANO FRANCZAK,ERVAL GRANDE
2018,86746,GENTIL,JULIANO FRANCZAK,PSD,Eleito,4,JULIANO FRANCZAK,GENTIL
2018,88641,CERRITO,JULIANO FRANCZAK,PSD,Eleito,32,JULIANO FRANCZAK,CERRITO
